"id","pclass","survived","name","sex","age","sibsp","parch","ticket","fare","embarked","home.dest"
887,3,1,"Jermyn, Miss. Annie","female",NA,0,0,"14313",7.75,"Q",""
689,3,0,"Braund, Mr. Lewis Richard","male",29,1,0,"3460",7.0458,"S","Bridgerule, Devon"
217,1,1,"Newsom, Miss. Helen Monypeny","female",19,0,2,"11752",26.2833,"S","New York, NY"
1,1,1,"Allen, Miss. Elisabeth Walton","female",29,0,0,"24160",211.3375,"S","St Louis, MO"
847,3,0,"Hampe, Mr. Leon","male",20,0,0,"345769",9.5,"S",""
1108,3,0,"Pasic, Mr. Jakob","male",21,0,0,"315097",8.6625,"S",""
781,3,1,"Drapkin, Miss. Jennie","female",23,0,0,"SOTON/OQ 392083",8.05,"S","London New York, NY"
1052,3,0,"Nancarrow, Mr. William Henry","male",33,0,0,"A./5. 3338",8.05,"S",""
1239,3,1,"Tenglin, Mr. Gunnar Isidor","male",25,0,0,"350033",7.7958,"S",""
537,2,1,"Pinsky, Mrs. (Rosa)","female",32,0,0,"234604",13,"S","Russia"
561,2,1,"Sinkkonen, Miss. Anna","female",30,0,0,"250648",13,"S","Finland / Washington, DC"
986,3,1,"Madsen, Mr. Fridtjof Arne","male",24,0,0,"C 17369",7.1417,"S",""
761,3,1,"de Mulder, Mr. Theodore","male",30,0,0,"345774",9.5,"S","Belgium Detroit, MI"
369,2,0,"Chapman, Mr. John Henry","male",37,1,0,"SC/AH 29037",26,"S","Cornwall / Spokane, WA"
742,3,0,"Daher, Mr. Shedid","male",22.5,0,0,"2698",7.225,"C",""
976,3,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)","female",26,1,0,"A/5. 3336",16.1,"S",""
259,1,1,"Serepeca, Miss. Augusta","female",30,0,0,"113798",31,"C",""
376,2,0,"Collander, Mr. Erik Gustaf","male",28,0,0,"248740",13,"S","Helsinki, Finland Ashtabula, Ohio"
1294,3,0,"Williams, Mr. Howard Hugh ""Harry""","male",NA,0,0,"A/5 2466",8.05,"S",""
201,1,0,"McCaffry, Mr. Thomas Francis","male",46,0,0,"13050",75.2417,"C","Vancouver, BC"
502,2,1,"Mellinger, Miss. Madeleine Violet","female",13,0,1,"250644",19.5,"S","England / Bennington, VT"
566,2,0,"Sobey, Mr. Samuel James Hayden","male",25,0,0,"C.A. 29178",13,"S","Cornwall / Houghton, MI"
1300,3,0,"Yasbeck, Mr. Antoni","male",27,1,0,"2659",14.4542,"C",""
528,2,0,"Parker, Mr. Clifford Richard","male",28,0,0,"SC 14888",10.5,"S","St Andrews, Guernsey"
171,1,1,"Ismay, Mr. Joseph Bruce","male",49,0,0,"112058",0,"S","Liverpool"
644,3,1,"Asplund, Miss. Lillian Gertrud","female",5,4,2,"347077",31.3875,"S","Sweden Worcester, MA"
523,2,0,"Otter, Mr. Richard","male",39,0,0,"28213",13,"S","Middleburg Heights, OH"
956,3,0,"Lefebre, Miss. Ida","female",NA,3,1,"4133",25.4667,"S",""
402,2,1,"Duran y More, Miss. Asuncion","female",27,1,0,"SC/PARIS 2149",13.8583,"C","Barcelona, Spain / Havana, Cuba"
413,2,0,"Fynney, Mr. Joseph J","male",35,0,0,"239865",26,"S","Liverpool / Montreal, PQ"
578,2,1,"Walcroft, Miss. Nellie","female",31,0,0,"F.C.C. 13528",21,"S","Mamaroneck, NY"
136,1,0,"Goldschmidt, Mr. George B","male",71,0,0,"PC 17754",34.6542,"C","New York, NY"
567,2,0,"Stanton, Mr. Samuel Ward","male",41,0,0,"237734",15.0458,"C","New York, NY"
389,2,1,"Davis, Miss. Mary","female",28,0,0,"237668",13,"S","London / Staten Island, NY"
1068,3,1,"Nysten, Miss. Anna Sofia","female",22,0,0,"347081",7.75,"S",""
156,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)","female",52,1,1,"12749",93.5,"S","Montreal, PQ"
850,3,0,"Hansen, Mr. Henrik Juul","male",26,1,0,"350025",7.8542,"S",""
778,3,1,"Dorking, Mr. Edward Arthur","male",19,0,0,"A/5. 10482",8.05,"S","England Oglesby, IL"
1227,3,0,"Stoytcheff, Mr. Ilia","male",19,0,0,"349205",7.8958,"S",""
906,3,1,"Jonsson, Mr. Carl","male",32,0,0,"350417",7.8542,"S",""
607,3,1,"Abrahamsson, Mr. Abraham August Johannes","male",20,0,0,"SOTON/O2 3101284",7.925,"S","Taalintehdas, Finland Hoboken, NJ"
936,3,1,"Kink-Heilmann, Mr. Anton","male",29,3,1,"315153",22.025,"S",""
584,2,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","female",40,0,0,"C.A. 33595",15.75,"S","Aberdeen / Portland, OR"
977,3,0,"Lockyer, Mr. Edward","male",NA,0,0,"1222",7.8792,"S",""
407,2,0,"Faunthorpe, Mr. Harry","male",40,1,0,"2926",26,"S","England / Philadelphia, PA"
272,1,1,"Snyder, Mr. John Pillsbury","male",24,1,0,"21228",82.2667,"S","Minneapolis, MN"
188,1,1,"Lines, Miss. Mary Conover","female",16,0,1,"PC 17592",39.4,"S","Paris, France"
903,3,0,"Johnston, Mr. Andrew G","male",NA,1,2,"W./C. 6607",23.45,"S",""
473,2,0,"Kirkland, Rev. Charles Leonard","male",57,0,0,"219533",12.35,"Q","Glasgow / Bangor, ME"
58,1,1,"Carter, Mrs. William Ernest (Lucile Polk)","female",36,1,2,"113760",120,"S","Bryn Mawr, PA"
349,2,0,"Bracken, Mr. James H","male",27,0,0,"220367",13,"S","Lake Arthur, Chavez County, NM"
285,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)","female",62,0,0,"113572",80,"","Cincinatti, OH"
